SKU,Item Name,Category,Country,Brand,CY Sales (YTD),PY Sales (YTD),YoY Sales %,CY Revenue (YTD),Weekly Run Rate,Monthly Target,Weekly Target,Annual Target,Expected YTD,YTD Variance,Sales Pace %,Sales Health,Remaining Target,Req. Weekly Sales,Req. Monthly Sales,Effort Multiplier,Total Stock,TWC Stock,Bonded Stock,Stock Coverage (Mo),Stock Coverage (Wk),TWC Coverage (Mo),TWC Coverage (Wk),Wks Until Stockout,Stockout Risk,Bonded Reorder,TWC Reorder,Bonded Est. Reorder Qty,TWC Est. Reorder Qty,CY Purchases,PY Purchases,Stock Turnover
014-006,Coravin Screw Caps,Accessories,United States,Coravin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3,3,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
014-007,Coravin Aerator,Accessories,United States,Coravin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
014-008,Coravin Pedestal,Accessories,United States,Coravin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-001,VacuVin Cutter 4 Blades,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15,15,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-002,VacuVin Cutter 2 Blades,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2,2,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-004,VacuVin Lever Corkscrew Horizontal,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,-0.1846153846153846,-1.0,Critical,1.2,0.02727272727272727,0.11818181818181818,1.1818181818181819,5,5,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-005,VacuVin Cork Puller,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,-0.1846153846153846,-1.0,Critical,1.2,0.02727272727272727,0.11818181818181818,1.1818181818181819,3,3,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-006,VacuVin Champagne Opener,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5,5,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-007,VacuVin Champagne and Bottle Opener,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2,2,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-009,VacuVin Champagne Active Cooler Classic,Accessories,Netherlands,VacuVin,1.0,0.0,,32203.0,0.125,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,0.8153846153846154,4.416666666666667,Ahead,0.19999999999999996,0.004545454545454544,0.019696969696969692,0.19696969696969693,2,2,0,3.7000000000000006,16.0,3.7000000000000006,16.0,16.0,HIGH,REORDER,,4.0,0.0,0.0,0.0,0.3333333333333333
